Data,N,MAE,Treatment,Pearson,Spearman
jirasoftware_filtered,10,3.763342950442552,SVM,0.0732580845236429,0.07912825801003677
jirasoftware_filtered,20,3.699402307213361,SVM,0.19749777095067717,0.1389602092403186
jirasoftware_filtered,30,3.4551246302671945,SVM,0.26948206325271523,0.23253836364676908
jirasoftware_filtered,40,3.5912568482597567,SVM,0.15080607924679357,0.135543154914737
jirasoftware_filtered,50,3.553386276158884,SVM,0.051041942517509216,0.0
jirasoftware_filtered,60,3.68196072286749,SVM,0.11706772363033338,0.030909824749051903
jirasoftware_filtered,70,3.71493487607752,SVM,0.21424255770760692,0.20149453676730222
jirasoftware_filtered,80,3.7605462040757835,SVM,0.11075921800222942,0.08346099356012064
jirasoftware_filtered,90,3.7132886877282396,SVM,0.12181203113460326,0.09820122790576677
jirasoftware_filtered,100,3.6676169925390223,SVM,0.19470298630633867,0.21920515167048008
jirasoftware_filtered,110,3.546889435542603,SVM,0.182032802915626,0.20354923610033168
jirasoftware_filtered,120,3.421624745980926,SVM,0.2023463271721717,0.21176803343244954
jirasoftware_filtered,130,3.445809151181963,SVM,0.21589984593233405,0.20794897271562301
jirasoftware_filtered,140,3.5160583517446398,SVM,0.24562466667819083,0.21386740014228398
jirasoftware_filtered,150,3.5339971312845884,SVM,0.2708740140011851,0.2534203623031011
jirasoftware_filtered,160,3.513629511248242,SVM,0.2943739554012583,0.29201297586261105
jirasoftware_filtered,170,3.361287997255958,SVM,0.2792011469596271,0.26996962540934927
jirasoftware_filtered,180,3.3511398622091515,SVM,0.27056972436459276,0.23910446803710236
jirasoftware_filtered,190,3.3684947712558437,SVM,0.26786765755171754,0.244285883746481
jirasoftware_filtered,200,3.4050051267152317,SVM,0.3050609672755399,0.3016164618756835
jirasoftware_filtered,210,3.365146528587115,SVM,0.28032027941383664,0.2925043170074659
jirasoftware_filtered,220,3.3743693029866795,SVM,0.30722207350969616,0.368438857575946
jirasoftware_filtered,230,3.428732076000762,SVM,0.2751161090737113,0.3078698946283819
jirasoftware_filtered,240,3.4686647670629114,SVM,0.27759245696933876,0.30985759289620385
jirasoftware_filtered,250,3.444283949626925,SVM,0.2513612116269266,0.2909409588192913
jirasoftware_filtered,260,3.567039656900281,SVM,0.19554648362013424,0.23912680172550488
jirasoftware_filtered,270,3.4618280226796094,SVM,0.2055964891153443,0.29031561554402147
jirasoftware_filtered,280,3.3756143365867577,SVM,0.19046272227077682,0.272806003836466
jirasoftware_filtered,290,3.4490451079352655,SVM,0.17355357498267268,0.2801984546976916
jirasoftware_filtered,300,3.3930353045860673,SVM,0.22473163787986528,0.27537437800275283
jirasoftware_filtered,310,3.394366804536937,SVM,0.22628324215242662,0.2723593300684161
jirasoftware_filtered,320,3.3768787257509154,SVM,0.21620633490503402,0.2774290773357823
jirasoftware_filtered,330,3.488103729525743,SVM,0.19806643360326465,0.24345953727558875
jirasoftware_filtered,340,3.2842557836991597,SVM,0.21360215052552303,0.25478271729565327
jirasoftware_filtered,350,3.309357484548074,SVM,0.266950151640913,0.3248434978142774
jirasoftware_filtered,360,3.3799387478052325,SVM,0.22257249363528375,0.29884708451377423
jirasoftware_filtered,370,3.4133235395978003,SVM,0.19384207244264084,0.31474867065635004
jirasoftware_filtered,380,3.391875079806104,SVM,0.21550801523516408,0.35812069353399373
jirasoftware_filtered,390,3.3338251351247115,SVM,0.2207213438945227,0.3515769228320629
jirasoftware_filtered,400,3.2127762966110938,SVM,0.24131182449080346,0.3484725401441162
jirasoftware_filtered,410,3.2060504236846086,SVM,0.26364328254114056,0.3124706344392956
jirasoftware_filtered,420,3.2093372588951348,SVM,0.26263034269809654,0.30255447678858827
jirasoftware_filtered,430,3.2354292236237114,SVM,0.2473534137218575,0.3035148253898955
