Data,N,Treatment,Pearson,Spearman,Isep
jirasoftware_filtered,1,None,-0.012850347574833748,0.04298844454607769,0.0007320064787359766
jirasoftware_filtered,1,None,0.5650247425128965,0.6230680149347784,0.001469936547286903
jirasoftware_filtered,1,None,0.5512548864155506,0.6461136772177142,0.0024177460219685955
jirasoftware_filtered,1,None,0.641273905282455,0.6994350134801932,0.008673590808641942
jirasoftware_filtered,1,None,0.520159511940981,0.5619074715457002,0.004416373548007308
jirasoftware_filtered,1,None,0.45142341649892964,0.4757464849334923,0.010014724624141762
jirasoftware_filtered,1,None,0.5945365593783104,0.6494943771314056,0.00019880886962681367
jirasoftware_filtered,1,None,0.5824702241367503,0.6599594843394809,0.0038537227043949937
jirasoftware_filtered,1,None,0.5692660946679415,0.620281447926711,0.0014704498790881265
jirasoftware_filtered,1,None,0.5818235414081152,0.6411915789770378,0.0010050862478186322
jirasoftware_filtered,1,FairReweighing,-0.011432994235374814,0.04540012205876546,0.0008652610983767009
jirasoftware_filtered,1,FairReweighing,0.5563325628410285,0.6245341006399239,0.0004890029719123126
jirasoftware_filtered,1,FairReweighing,0.5475186181052571,0.6460818785551596,0.00016019361205112621
jirasoftware_filtered,1,FairReweighing,0.6411422287573356,0.697565586844751,0.002456526071902845
jirasoftware_filtered,1,FairReweighing,0.5236098453697445,0.5710621391337655,0.0015036991792531289
jirasoftware_filtered,1,FairReweighing,0.4487731998548936,0.48556557720756527,0.0018390236255479166
jirasoftware_filtered,1,FairReweighing,0.5912647664735109,0.6465672265625709,3.869072884973386e-05
jirasoftware_filtered,1,FairReweighing,0.5518653126343314,0.651308574510832,0.00297345272732646
jirasoftware_filtered,1,FairReweighing,0.5537538324414684,0.625009406964423,0.010799729106066148
jirasoftware_filtered,1,FairReweighing,0.5818235414081152,0.6411915789770378,0.0010050862478186322
