Data,Treatment,MAE,Pearson,Spearman,Isep,Csep,gAOD,Differential Parity,gDP
jirasoftware_filtered,None,0.22089072504000032,0.992401441072829,0.9811096367730165,0.00523636508434618,0.0024846255255007096,0.0,0.06 (0.20),0.50 (0.00)
jirasoftware_filtered,None,0.21056432783875836,0.9968138380848097,0.9811096367730165,3.820566394586874e-06,4.0359704852136543e-07,0.0,0.30 (-0.07),0.50 (0.00)
jirasoftware_filtered,None,0.24240154327322902,0.9954166006472869,0.9811096367730165,8.000787203204211e-06,2.506811309964164e-06,0.0,0.30 (-0.07),0.50 (0.00)
jirasoftware_filtered,None,0.278449423236934,0.9961255307874558,0.9811096367730165,0.0011881158020408597,0.0009243322648511261,0.0,0.29 (0.07),0.50 (0.00)
jirasoftware_filtered,None,0.24964741321459208,0.9953290944250776,0.9811096367730165,0.0006881297821505133,0.0004985813490664172,0.0,0.24 (-0.09),0.50 (0.00)
jirasoftware_filtered,None,0.18357319184089904,0.9973667547112743,0.9811096367730165,0.00024113179476691881,0.00015491252352572727,0.0,0.19 (-0.11),0.50 (0.00)
jirasoftware_filtered,None,0.24249697167035109,0.9959624480075936,0.9811096367730165,0.009201399903952108,0.006422879744977268,0.0,0.08 (0.18),0.50 (0.00)
jirasoftware_filtered,None,0.25218655257464545,0.9953168744469573,0.9808784830320706,0.0012802839102139182,0.0008307782458017286,-0.00022533812059190956,0.33 (0.06),0.50 (-0.00)
jirasoftware_filtered,None,0.31390379226371035,0.9952868297020906,0.9811096367730165,0.0019074771986827652,0.0011650633075804006,0.0,0.05 (-0.21),0.50 (0.00)
jirasoftware_filtered,None,0.2478202428991936,0.9967030323512885,0.9811096367730165,0.005451803448580217,0.0037367037351676547,0.0,0.03 (-0.25),0.50 (0.00)
jirasoftware_filtered,None,0.22553034024695828,0.9966627330686102,0.9811096367730165,0.0002601007857203768,0.00019568586112222146,0.0,0.29 (-0.07),0.50 (0.00)
jirasoftware_filtered,None,0.2443586391945408,0.9940148522459153,0.9811096367730165,0.00030346802770693797,0.0002095396645747264,0.0,0.48 (0.01),0.50 (0.00)
jirasoftware_filtered,None,0.26807482139160643,0.9960690090634048,0.9811096367730165,0.0017074221687458742,0.0012210820696923535,0.0,0.36 (-0.05),0.50 (0.00)
jirasoftware_filtered,None,0.2823942456071235,0.9909710252709355,0.9811096367730165,0.001546892325151212,0.0007280212061498492,0.0,0.36 (0.04),0.50 (0.00)
jirasoftware_filtered,None,0.28321403727683847,0.9943544385699796,0.9810578164129558,0.005972939020336934,0.003957017119716048,0.0,0.11 (0.17),0.50 (0.00)
jirasoftware_filtered,None,0.2098044949035122,0.9965699865716652,0.9811096367730165,0.028729067759121693,0.018164624544493562,0.0,0.00 (0.34),0.50 (0.00)
jirasoftware_filtered,None,0.18157080618758178,0.9976632483850079,0.9811096367730165,3.5175210932265565e-05,4.261383120793634e-05,0.0,0.42 (0.03),0.50 (0.00)
jirasoftware_filtered,None,0.3081945681680827,0.9960466728444606,0.9811096367730165,0.006757000223444669,0.004846941334294579,0.0,0.11 (0.16),0.50 (0.00)
jirasoftware_filtered,None,0.18237025879289462,0.9979337580662077,0.9811096367730165,0.002041196664717297,0.001454245173311137,0.0,0.10 (-0.17),0.50 (0.00)
jirasoftware_filtered,None,0.19904424011979474,0.9955661063845596,0.9811096367730165,0.0009822414924294867,0.0005383424958820868,0.0,0.17 (0.12),0.50 (0.00)
jirasoftware_filtered,FairReweighing,0.33275111543533464,0.9693145093000312,0.980926227633475,0.009999735107355726,0.004044154150500705,0.0015964877270005506,0.02 (0.27),0.50 (0.00)
jirasoftware_filtered,FairReweighing,0.32511464210405744,0.9757657376210335,0.9810135653189711,0.015892266953453613,0.006085737632656973,0.0007982438635003031,0.01 (0.29),0.50 (0.00)
jirasoftware_filtered,FairReweighing,0.3357003984385974,0.9612036190861017,0.9809396194119178,0.04616921769957717,0.010252930149994914,0.001396926761125572,0.00 (0.36),0.50 (0.00)
jirasoftware_filtered,FairReweighing,0.3480309509251216,0.950670599097205,0.9799567793244695,0.030956591362279965,0.00737316536451157,0.004589902215126729,0.00 (0.32),0.51 (0.00)
jirasoftware_filtered,FairReweighing,0.31553904650962517,0.972434094306713,0.9810048315504215,0.01528960177528879,0.005398124350010465,0.0009978048293753372,0.01 (0.30),0.50 (0.00)
jirasoftware_filtered,FairReweighing,0.34915952214367313,0.9670861751403502,0.9810222990875206,0.008570075123473516,0.0033924278612579408,0.0005986828976252134,0.02 (0.27),0.50 (0.00)
jirasoftware_filtered,FairReweighing,0.3069586253057332,0.9643775708988757,0.9810048315504215,0.006565259884349386,0.002494415344466738,0.0009978048293753372,0.03 (0.23),0.50 (0.00)
jirasoftware_filtered,FairReweighing,0.2946751286450042,0.9587449740722405,0.9799940434036144,0.03466266681928744,0.007297522221916274,0.003592097385751336,0.00 (0.32),0.51 (0.00)
jirasoftware_filtered,FairReweighing,0.3672950618887601,0.9515399598725851,0.9800697360643775,0.018042018882242102,0.0055260601221812835,0.003991219317501515,0.01 (0.30),0.51 (0.00)
jirasoftware_filtered,FairReweighing,0.32828565683539057,0.9540907768038444,0.9799765758665152,0.040956137424947164,0.00887862998033515,0.003991219317501515,0.00 (0.34),0.51 (0.00)
jirasoftware_filtered,FairReweighing,0.3154180733036233,0.9633945865797198,0.9809873640133223,0.014914531690606721,0.004722814921666293,0.0011973657952504269,0.01 (0.28),0.50 (0.00)
jirasoftware_filtered,FairReweighing,0.32580184528272443,0.9628389479076478,0.9808912925592767,0.01707919742454587,0.006148688708609338,0.0023947315905008537,0.01 (0.30),0.51 (0.00)
jirasoftware_filtered,FairReweighing,0.3909561440824918,0.9552470018518249,0.9806630500745138,0.009636811381563692,0.003446487323946109,0.002594292556375999,0.02 (0.25),0.51 (0.00)
jirasoftware_filtered,FairReweighing,0.3725763020450122,0.9658020194116622,0.9806327730102085,0.0017328276375080803,0.0007232158656890169,0.0011973657952504269,0.08 (0.18),0.50 (0.00)
jirasoftware_filtered,FairReweighing,0.3003677303932573,0.9739424631052145,0.9809873640133223,0.004631364795087169,0.002000392692180265,0.0009978048293753372,0.04 (0.22),0.50 (0.00)
jirasoftware_filtered,FairReweighing,0.3410836313957493,0.9487457536743128,0.9798467338407445,0.008775067535458135,0.002673479077719465,0.0037916583516264257,0.02 (0.25),0.51 (0.00)
jirasoftware_filtered,FairReweighing,0.344547367531415,0.9703567335656503,0.9809873640133223,0.0033143348764065566,0.0014837041758084426,0.0017960486928756403,0.04 (0.22),0.50 (0.00)
jirasoftware_filtered,FairReweighing,0.31040363986742553,0.9674404576645246,0.9809698964762231,0.011991605490151712,0.004364387822903228,0.0017960486928756403,0.02 (0.27),0.50 (0.00)
jirasoftware_filtered,FairReweighing,0.3139882787177552,0.9604301686551159,0.980002777172164,0.005030236135964982,0.0017638526780204115,0.003392536419876302,0.07 (0.19),0.51 (0.00)
jirasoftware_filtered,FairReweighing,0.33596909835458344,0.9562937829681182,0.9809087600963758,0.007217364094635141,0.0027038843763661437,0.0019956096587507854,0.02 (0.24),0.50 (0.00)
