Data,N,MAE,Treatment,Pearson,Spearman
jirasoftware_filtered,10,3.5103367240293526,CL,0.1482097069758444,0.21442574235234632
jirasoftware_filtered,20,3.3717750628980308,CL,0.1578475984497731,0.15336543825992732
jirasoftware_filtered,30,3.296994285228161,CL,0.2227440731942798,0.2015838715209122
jirasoftware_filtered,40,3.2024739417032553,CL,0.1812528120850553,0.21105335540356973
jirasoftware_filtered,50,3.2759865278521407,CL,0.2123715259693737,0.23905980066029736
jirasoftware_filtered,60,3.279208421305968,CL,0.24976545555741597,0.3123812996856857
jirasoftware_filtered,70,3.268109435702746,CL,0.3049323618518904,0.36977887888009564
jirasoftware_filtered,80,3.322479629631226,CL,0.34937148931373396,0.4054234455704763
jirasoftware_filtered,90,3.332849879620167,CL,0.4015612106425131,0.4736305299516934
jirasoftware_filtered,100,3.2569655643059656,CL,0.3963763069591339,0.4611013307578942
jirasoftware_filtered,110,3.070727722203502,CL,0.394563689760941,0.469454130220427
jirasoftware_filtered,120,2.909291221258732,CL,0.40728544738497935,0.47108448947380904
jirasoftware_filtered,130,2.8682495579123497,CL,0.3720382727538891,0.4535525440778512
jirasoftware_filtered,140,2.7974526871855443,CL,0.36389985533259006,0.44618242690502813
jirasoftware_filtered,150,2.665298443201643,CL,0.36184087728455055,0.4279134697917879
jirasoftware_filtered,160,2.480648834888752,CL,0.3739827068189653,0.4470534407527254
jirasoftware_filtered,170,2.491237832720463,CL,0.3579604565838473,0.43849963809457015
jirasoftware_filtered,180,2.5528644733704056,CL,0.3573912918452109,0.4221737118723469
jirasoftware_filtered,190,2.6534935751213475,CL,0.39325501556973536,0.46000698002617196
jirasoftware_filtered,200,2.6943019456588306,CL,0.3886170635333821,0.46157033821434656
jirasoftware_filtered,210,2.5738656585033124,CL,0.37733224226978884,0.4531728713750088
jirasoftware_filtered,220,2.3636718500118987,CL,0.3668885745217217,0.41053786021464744
jirasoftware_filtered,230,2.1706676120941455,CL,0.3688777597568454,0.4268414527484682
jirasoftware_filtered,240,2.081447420670436,CL,0.3531092858301887,0.42530042824869607
jirasoftware_filtered,250,2.0381170742786847,CL,0.35072943635285125,0.43043717658126973
jirasoftware_filtered,260,2.0761102204139417,CL,0.3366169292751722,0.40033136461470764
jirasoftware_filtered,270,2.187914831363238,CL,0.33247779275366757,0.362609764902895
jirasoftware_filtered,280,2.181789046067458,CL,0.3343260994580234,0.3787346879294958
jirasoftware_filtered,290,2.1776224677379314,CL,0.3256939572366406,0.38507745543580413
jirasoftware_filtered,300,2.1335291135769623,CL,0.30196050987128337,0.36569181390243916
jirasoftware_filtered,310,2.1510709028977613,CL,0.2882291607300863,0.3465965103183067
jirasoftware_filtered,320,2.178663267539098,CL,0.2869094697865515,0.3422861084566253
jirasoftware_filtered,330,2.181742950127675,CL,0.2931756160100338,0.3445864783620822
jirasoftware_filtered,340,2.1812280476093293,CL,0.3029752201923096,0.3505272394771457
jirasoftware_filtered,350,2.171618142380164,CL,0.30732698162872996,0.3584110314832261
jirasoftware_filtered,360,2.165508727958569,CL,0.3130834091688581,0.3635701135042022
jirasoftware_filtered,370,2.1615615526070964,CL,0.30851764076945704,0.35325194946224997
jirasoftware_filtered,380,2.1884106317391763,CL,0.3046127700613741,0.3560436605125617
jirasoftware_filtered,390,2.2036430404736445,CL,0.30970000769747974,0.3614484131059653
jirasoftware_filtered,400,2.1790150339786822,CL,0.3108880649374335,0.36006372442501067
jirasoftware_filtered,410,2.2102885365486147,CL,0.31209704783240894,0.3458818322894269
jirasoftware_filtered,420,2.217063697026326,CL,0.2983585915693852,0.31993008636572867
jirasoftware_filtered,430,2.174749254034116,CL,0.29470114827279864,0.32917623336436125
