Data,N,MAE,Treatment,Pearson,Spearman
jirasoftware_filtered,50,3.5604906736085047,CL,0.309747145000094,0.2705949686846191
jirasoftware_filtered,60,3.3743428950556194,CL,0.37311747299873305,0.30769122512116187
jirasoftware_filtered,70,3.327716902141961,CL,0.3451717921247203,0.2792827734731893
jirasoftware_filtered,80,3.201434391393111,CL,0.29547968101955374,0.2176864608591105
jirasoftware_filtered,90,3.015579984967525,CL,0.29504469393043686,0.2042639141292115
jirasoftware_filtered,100,2.908453089858477,CL,0.30164072449986407,0.23302970479162394
jirasoftware_filtered,110,2.888203764678194,CL,0.3070853331941027,0.24709992848519527
jirasoftware_filtered,120,2.9975671492516995,CL,0.2845072223720259,0.23515140518986088
jirasoftware_filtered,130,2.923322831036953,CL,0.29133527996837216,0.2503829806803619
jirasoftware_filtered,140,2.852358895368301,CL,0.2898338630452127,0.2579094336720025
jirasoftware_filtered,150,2.743265921622515,CL,0.32213484215640714,0.2989364192673842
jirasoftware_filtered,160,2.5730247896451215,CL,0.33562804614698133,0.3031798200638581
jirasoftware_filtered,170,2.4804609706768623,CL,0.3408634292010144,0.32575917903877966
jirasoftware_filtered,180,2.396359890928635,CL,0.35033271717608383,0.34163843149295303
jirasoftware_filtered,190,2.4103980229451105,CL,0.3538543579075573,0.33607734308073195
jirasoftware_filtered,200,2.3019505281861012,CL,0.35081554011057475,0.33542966611705965
jirasoftware_filtered,210,2.217953241501863,CL,0.3332376376586864,0.3138553231202503
jirasoftware_filtered,220,2.139144864219886,CL,0.3129176637737374,0.2980654054196869
jirasoftware_filtered,230,2.137942500068591,CL,0.33426565314699824,0.3103266003526562
jirasoftware_filtered,240,2.1502139679514443,CL,0.32221918917648384,0.29266065282628334
jirasoftware_filtered,250,2.118623860524251,CL,0.318598961960495,0.28714423179086723
jirasoftware_filtered,260,2.10592731489585,CL,0.3394574644745519,0.3203097590685711
jirasoftware_filtered,270,2.0502296346884505,CL,0.34319236034029926,0.339695400601936
jirasoftware_filtered,280,2.0857287127238053,CL,0.3407487029421572,0.33154360433502567
jirasoftware_filtered,290,2.061940117065723,CL,0.3389185171524868,0.3503709036583282
jirasoftware_filtered,300,2.087815217788403,CL,0.33276147028045233,0.3496785593178509
jirasoftware_filtered,310,2.072464701304069,CL,0.3281658965351898,0.3381767097905664
jirasoftware_filtered,320,2.0621584837253275,CL,0.34080386330211204,0.3453681574561695
jirasoftware_filtered,330,2.1278784615489155,CL,0.3368906271102412,0.3467751798255267
jirasoftware_filtered,340,2.0877838930258386,CL,0.34743455415216135,0.34987956251347335
jirasoftware_filtered,350,2.0904860408260273,CL,0.35385781361349106,0.35584265731693926
jirasoftware_filtered,360,2.0924081401183057,CL,0.36396274119407396,0.37234725304638244
jirasoftware_filtered,370,2.0496437322634917,CL,0.379689183548391,0.39863400429611806
jirasoftware_filtered,380,2.115855254003635,CL,0.37054087544695546,0.3789133574367157
jirasoftware_filtered,390,2.087351428545438,CL,0.34181913496730953,0.36361478088100724
jirasoftware_filtered,400,2.079258124874188,CL,0.31046000951246344,0.34590416597782936
jirasoftware_filtered,410,2.0777168347285344,CL,0.3141899680131815,0.3465295092530992
jirasoftware_filtered,420,2.108939440892293,CL,0.31127037134299185,0.35827702935281114
jirasoftware_filtered,430,2.1310422736864822,CL,0.3078421003928223,0.3468198472023316
