Data,N,Treatment,Pearson,Spearman
jirasoftware_filtered,1,CL,0.6110963388680095,0.6464684833472699
jirasoftware_filtered,1,CL,0.15655757905757087,0.17614618080005182
jirasoftware_filtered,1,CL,0.4624706001776883,0.5501637233801693
jirasoftware_filtered,1,CL,0.5387560649176111,0.6462961011239481
jirasoftware_filtered,1,CL,0.4536807827316806,0.5611928384451328
jirasoftware_filtered,1,CL,0.533776184313542,0.5601736076295695
jirasoftware_filtered,1,CL,0.5695304919779919,0.67908219583148
jirasoftware_filtered,1,CL,0.6187486932355899,0.6871657505756034
jirasoftware_filtered,1,CL,0.554719829206846,0.6279934604030922
jirasoftware_filtered,1,CL,0.057096220630798555,0.07888244011485945
