Data,Treatment,MAE,Pearson,Spearman,Isep,Csep,gAOD,DP,gDP
jirasoftware_filtered,None,1.740859603772969,0.6011004921098027,0.7031329981300604,0.00010891250310778704,4.658865489195223e-05,-0.042481386922850875,0.05 (0.21),0.56 (-0.01)
jirasoftware_filtered,None,1.7439024413013022,0.603242220530177,0.7054107649677961,0.00018584060861355552,8.897475967215292e-05,-0.039983546713482795,0.05 (0.21),0.56 (-0.01)
jirasoftware_filtered,None,1.7413641957387531,0.6006935322791739,0.7039335935804404,0.00016874557071677542,7.929944898693306e-05,-0.03797504847737354,0.05 (0.21),0.55 (-0.01)
jirasoftware_filtered,None,1.7447255060553006,0.6016544644364086,0.7044360763976608,0.00033035886007281353,0.00017175907287061913,-0.038560842797640396,0.05 (0.22),0.56 (-0.01)
jirasoftware_filtered,None,1.7455403421023121,0.6003121159500804,0.6993314798060378,0.00017008676199734962,7.995957021457556e-05,-0.03810393425095769,0.05 (0.21),0.55 (-0.01)
jirasoftware_filtered,None,1.7467181421306035,0.5993510458788547,0.7015434522540331,0.00027955208828230407,0.0001422392448831115,-0.04189559260258412,0.05 (0.22),0.56 (-0.01)
jirasoftware_filtered,None,1.7405011858025643,0.6025419488205781,0.7036762385338456,0.00011893202713196519,5.207962696170717e-05,-0.03966175624588307,0.05 (0.21),0.56 (-0.01)
jirasoftware_filtered,None,1.739179105791327,0.6024588245825337,0.7065473193817173,8.737422248348582e-05,3.524956383256797e-05,-0.040382668645232864,0.05 (0.21),0.56 (-0.01)
jirasoftware_filtered,None,1.7407212423407323,0.6023120119987343,0.7024849525036801,0.00010638750450116538,4.5260247814971814e-05,-0.03947508385736634,0.05 (0.21),0.56 (-0.01)
jirasoftware_filtered,None,1.7425959613769566,0.6011901837927413,0.7047429227993699,0.00020238641845212084,9.819835643010662e-05,-0.040234661988791415,0.05 (0.21),0.56 (-0.01)
jirasoftware_filtered,FairReweighing,1.7570374050096833,0.5876198144067704,0.7189719785203782,0.0008267371008089357,0.00046366663120615516,-0.023624931884504596,0.04 (0.23),0.53 (-0.01)
jirasoftware_filtered,FairReweighing,1.7537887872081914,0.586639679128188,0.7152327610786762,0.0009348298573932928,0.0005292636592610372,-0.02564008639247327,0.04 (0.23),0.53 (-0.01)
jirasoftware_filtered,FairReweighing,1.752809661708466,0.5889680395923581,0.7180025302113727,0.0009381023138951462,0.0005307301174101985,-0.025871656818564057,0.04 (0.23),0.53 (-0.01)
jirasoftware_filtered,FairReweighing,1.7541905505472122,0.5858870021621487,0.7155151529284465,0.00047535449682110004,0.0002527847298348421,-0.028137926601841334,0.04 (0.22),0.53 (-0.01)
jirasoftware_filtered,FairReweighing,1.7543269931997882,0.590370904395884,0.7187705195925008,0.0008317252438989891,0.000466749168785132,-0.022427566089254114,0.04 (0.23),0.52 (-0.00)
jirasoftware_filtered,FairReweighing,1.7557006736868592,0.5873155316916217,0.7129020093784063,0.000447581760883153,0.00023699225460491007,-0.03243181550408522,0.04 (0.22),0.54 (-0.01)
jirasoftware_filtered,FairReweighing,1.7564254838582043,0.5884933055486615,0.7171087745631302,0.0008152867116345804,0.00045687660302550924,-0.027835257017099088,0.04 (0.23),0.53 (-0.01)
jirasoftware_filtered,FairReweighing,1.7545762802367886,0.5844821617033306,0.712734321022254,0.0006137895919848949,0.00033560312484347905,-0.031234449708834794,0.04 (0.23),0.54 (-0.01)
jirasoftware_filtered,FairReweighing,1.7553026874860127,0.588951731475815,0.718014757487342,0.0006099482530021546,0.0003327726908025501,-0.03062911053935012,0.04 (0.23),0.54 (-0.01)
jirasoftware_filtered,FairReweighing,1.7558778826504537,0.5890802960150375,0.7138877607220376,0.0004860293196227174,0.0002601366827996226,-0.03425364135167763,0.04 (0.22),0.55 (-0.01)
