Data,N,MAE,Pearson,Spearman,Isep,Csep
jirasoftware_filtered,1,4.626608893445366,0.654395483713927,0.7829107335695259,0.0026690841742295214,0.0016257072903552295
jirasoftware_filtered,1,4.56466432766283,0.6976407286286841,0.7962652479331008,0.001382961329585682,0.0010319433027999865
jirasoftware_filtered,1,4.942094138393935,0.6936366384389282,0.787317793179654,0.00017666299343574568,8.015226505892682e-05
jirasoftware_filtered,1,4.723476428249383,0.6884150050175336,0.8028010180643848,0.0032175538458274417,0.0019358690450045433
jirasoftware_filtered,1,4.499014021497067,0.7336554640859809,0.820056033462211,0.0002924192150323804,0.00015045974554423933
jirasoftware_filtered,1,4.686593676266605,0.6737121631474265,0.7720959991001746,0.003960413806688967,0.00245355709748554
jirasoftware_filtered,1,4.837003580443391,0.7111449955001774,0.8008231106135187,0.010808837128569051,0.0069069211927924755
jirasoftware_filtered,1,4.673734351941576,0.6873895355479006,0.7871489403210284,0.0010293649409811156,0.0005763553979750257
jirasoftware_filtered,1,4.645915233738482,0.6808565271178442,0.8185718750600157,0.0013946228659652,0.0008095442870705692
jirasoftware_filtered,1,4.895121150569285,0.7019214254719398,0.8221666941950309,0.0021010125269718795,0.0012407829525926672
jirasoftware_filtered,1,4.51451708557569,0.6848455873665736,0.8213014688573839,0.013661986065952711,0.008629729205818875
jirasoftware_filtered,1,4.58394148040852,0.7261019387320018,0.8166510282303403,1.609996708461761e-05,2.4814167048435056e-06
jirasoftware_filtered,1,4.428600707146675,0.7128574046200868,0.8315537486321409,0.03372027826419789,0.020774499474337564
jirasoftware_filtered,1,4.679813752971487,0.6747300669668641,0.7911641448488977,0.0015114531871889363,0.0008907375050303469
jirasoftware_filtered,1,4.542371795023685,0.7038691986289471,0.8355928254607126,0.0005950238535000641,0.00031074991630107514
jirasoftware_filtered,1,4.940565064991718,0.734521080150132,0.8387462981583548,0.01934862670864407,0.012319501069286521
jirasoftware_filtered,1,4.315025320608322,0.665424392783393,0.8410898593858307,0.0028553859407870158,0.0017184823668223387
jirasoftware_filtered,1,4.680063945347587,0.6705782188525464,0.8136256508047588,0.0018277976176679688,0.001079885427122624
jirasoftware_filtered,1,4.589218414843627,0.6951778116698758,0.8227512744366176,8.944720422275339e-05,3.565666975099839e-05
jirasoftware_filtered,1,4.786815187124085,0.7051981734284762,0.7957616006134072,0.002367414937007918,0.0017298351293187047
jirasoftware_filtered,2,4.623137875719498,0.7753623505983918,0.8932945052629727,5.0918600340782514e-05,6.716777834097232e-05
jirasoftware_filtered,2,4.836043951548126,0.7905829109925568,0.9113745706631178,0.002799856600590596,0.0016112649625176318
jirasoftware_filtered,2,4.454007147858132,0.7897997040556931,0.9424062325710829,0.02154467042818581,0.012466696352687833
jirasoftware_filtered,2,5.087956448396047,0.7881067643159737,0.9137367639301663,0.0007193228375413134,0.000361780851079342
jirasoftware_filtered,2,4.6136820763009325,0.7824000761472198,0.913852049675021,0.007308714817097408,0.004345766379361105
jirasoftware_filtered,2,4.350395274012601,0.7571539806851901,0.9281463175345328,0.011842580310883852,0.007137039390401314
jirasoftware_filtered,2,4.610686441857929,0.7909508710368628,0.9148861278712936,0.00034744822251338845,0.00015908965266815315
jirasoftware_filtered,2,4.549087569559818,0.7966855024314203,0.9067817729085015,0.008267506477387448,0.005021242044390173
jirasoftware_filtered,2,4.824551915060984,0.7954603702622745,0.9061203355036785,0.0014409400286737467,0.0008176836869137693
jirasoftware_filtered,2,4.791327465138479,0.8081774593704831,0.9208658480715862,0.010614238496002478,0.006334184729640464
jirasoftware_filtered,2,4.967854467633108,0.7830254848736609,0.9024702025011823,0.0022820126744753488,0.001308977716545156
jirasoftware_filtered,2,4.697989368173357,0.7855081802636236,0.9050268676812686,0.002162432315012121,0.0012570047360119362
jirasoftware_filtered,2,4.63693741933532,0.822826962473217,0.9331455266523238,0.0004097131007622305,0.00019262745222566082
jirasoftware_filtered,2,4.633715852958971,0.7906314812343934,0.9093355268324045,0.0013766471436993087,0.0007842407040889565
jirasoftware_filtered,2,4.642164341093267,0.7933288819792755,0.9258906762437895,0.023167367305973192,0.014093174885963398
jirasoftware_filtered,2,4.61852805566502,0.7954511406058011,0.9148471170384387,0.024626821708034236,0.015092206911414725
jirasoftware_filtered,2,4.787002105674107,0.8344025747928416,0.9265090270571011,6.928009465596887e-08,6.757597921639609e-06
jirasoftware_filtered,2,4.640462358418393,0.799773065257079,0.9140045994990206,0.00753409229940768,0.004544984706502476
jirasoftware_filtered,2,4.597752303565474,0.8135389809070632,0.9385354263499003,0.022107180810710104,0.01307578304637638
jirasoftware_filtered,2,4.68036613501098,0.7714539921044422,0.9075183207228511,0.009042625915660855,0.005304560213981509
jirasoftware_filtered,3,4.761424334830345,0.8360707026082119,0.9527691400808015,0.0054082716959810975,0.0031376892741479374
jirasoftware_filtered,3,4.732808304295692,0.8099603465898707,0.951007247838729,0.009650121668377483,0.00566319169025535
jirasoftware_filtered,3,4.55102513546813,0.8273775275005198,0.9575406889650663,0.007867952435820592,0.0046196612669854075
jirasoftware_filtered,3,4.630372604550836,0.8315865910238434,0.9541909976006764,0.010586379139045294,0.006251676169918659
jirasoftware_filtered,3,4.662357556493315,0.8344011665335971,0.9605020187546174,0.010453644317626142,0.006248323458052368
jirasoftware_filtered,3,4.541650877763692,0.8407021113740657,0.9460453028000828,0.005981679636954598,0.0035736454120967485
jirasoftware_filtered,3,4.2804997447691004,0.8114712576816223,0.9608071184026167,0.010426024865715443,0.0062233857459407975
jirasoftware_filtered,3,4.5677197068317295,0.8225311163555723,0.9563068985946263,0.001483896689632482,0.0008093354514224003
jirasoftware_filtered,3,4.525924307366484,0.8309757357202703,0.9677469708921288,0.003495531062673772,0.0020005324259740522
jirasoftware_filtered,3,4.469354339590356,0.8387600819177893,0.9584123190663164,0.017614226253612045,0.01005934834324582
