Data,N,MAE,Treatment,Pearson,Spearman
jirasoftware_filtered,50,3.3163463835103006,CL,0.37663580109897116,0.3993263486365954
jirasoftware_filtered,60,3.179671031408585,CL,0.30825287745010344,0.3196397484164963
jirasoftware_filtered,70,3.1187050186670744,CL,0.2682953214967524,0.23901513328349241
jirasoftware_filtered,80,3.132480683005773,CL,0.2752702788773061,0.2758657191476077
jirasoftware_filtered,90,3.103577569184395,CL,0.2770605969052723,0.2599194656282269
jirasoftware_filtered,100,3.034930873089112,CL,0.28686761201732547,0.24399554579724858
jirasoftware_filtered,110,3.0618583004061994,CL,0.28688900504532955,0.23626808960998558
jirasoftware_filtered,120,3.0537895034138973,CL,0.2535448228426633,0.1848112715306391
jirasoftware_filtered,130,2.9137572487959496,CL,0.22438302390722376,0.13657050458125172
jirasoftware_filtered,140,2.9007833580271556,CL,0.23324022926660518,0.14378428593525736
jirasoftware_filtered,150,2.763293768121646,CL,0.2490215717108456,0.18101454450221507
jirasoftware_filtered,160,2.6623816730884404,CL,0.216379928474007,0.16475561934519933
jirasoftware_filtered,170,2.6584046597664175,CL,0.21571234519650323,0.17317541987293963
jirasoftware_filtered,180,2.663230858170069,CL,0.21260599673227265,0.18809432372580573
jirasoftware_filtered,190,2.7470654313380902,CL,0.25798355816455726,0.2212598510035095
jirasoftware_filtered,200,2.6928274002212746,CL,0.2706285070773964,0.23347637855967382
jirasoftware_filtered,210,2.5834544071784387,CL,0.2847263655301509,0.24535790078980074
jirasoftware_filtered,220,2.4122508853673934,CL,0.2783180960624994,0.2513879966584741
jirasoftware_filtered,230,2.3010519538934413,CL,0.2891680600726131,0.2749947052999105
jirasoftware_filtered,240,2.26307559632338,CL,0.28753462627434345,0.28122580436420636
jirasoftware_filtered,250,2.1343299177403634,CL,0.3030044939012732,0.3194164115324713
jirasoftware_filtered,260,2.0389531016349793,CL,0.33181060581952676,0.34568082909380443
jirasoftware_filtered,270,2.063245738469637,CL,0.32784573814631174,0.31675870261257455
jirasoftware_filtered,280,2.0880938515067102,CL,0.31002367771027445,0.29263831913788085
jirasoftware_filtered,290,2.1133959254966332,CL,0.30310215498132315,0.30782522725157685
jirasoftware_filtered,300,2.0274013842527685,CL,0.32879709164882825,0.3538326253607148
jirasoftware_filtered,310,2.0004667926293154,CL,0.3281524860704076,0.35865670205565353
jirasoftware_filtered,320,1.9178219490326367,CL,0.3034897114279097,0.3442961404128498
jirasoftware_filtered,330,1.9321609664421815,CL,0.29935762876639704,0.3373280296312716
jirasoftware_filtered,340,1.9662795850863823,CL,0.288580788185967,0.34923188554980106
jirasoftware_filtered,350,1.9035898224665568,CL,0.2790273169519699,0.3309182610597558
jirasoftware_filtered,360,1.8825824978259893,CL,0.2965622053683261,0.3519789292233078
jirasoftware_filtered,370,1.9158695046718304,CL,0.31079921965638396,0.3632797755549698
jirasoftware_filtered,380,1.9383100003004075,CL,0.309885573304343,0.3609794056495129
jirasoftware_filtered,390,1.9058054087253717,CL,0.32841735339079337,0.3847871174865717
jirasoftware_filtered,400,1.9517984186227506,CL,0.3073993660548143,0.3548153076504245
jirasoftware_filtered,410,2.021099235461308,CL,0.29809444079866404,0.36126974359874536
jirasoftware_filtered,420,1.9854081025490393,CL,0.31293360040635193,0.3670095015181864
jirasoftware_filtered,430,1.9980140201174297,CL,0.30586340718529126,0.33569767037788956
