Data,Treatment,MAE,Pearson,Spearman,Isep,Csep
jirasoftware_filtered,None,0.3023370926490458,0.99348807323476,0.979891390247661,0.00011801711593714884,8.752914450628984e-05
jirasoftware_filtered,None,0.16699801836149547,0.9972725039113264,0.9800105961968445,0.0014479923063755338,0.0009871592482889868
jirasoftware_filtered,None,0.21739634245740136,0.9961237754651003,0.9800105961968445,0.00046850584168372757,0.0003274394068655748
jirasoftware_filtered,None,0.2210283601835529,0.9949524357539021,0.9800105961968445,0.012770839700066233,0.008435684293866041
jirasoftware_filtered,None,0.23148339117124836,0.9958070289208916,0.9800105961968445,0.006989046577115646,0.004708201049268694
jirasoftware_filtered,None,0.2222927636947496,0.9960475386328794,0.9800105961968445,0.00010196849706678519,6.20648897941069e-05
jirasoftware_filtered,None,0.16275427774178175,0.9981111463937198,0.9800105961968445,0.0012992790280503463,0.0010331426108821328
jirasoftware_filtered,None,0.18459911490674544,0.9969393950898384,0.9800105961968445,0.0005396910983003276,0.0003465205675358985
jirasoftware_filtered,None,0.19877899096105447,0.9966196838169146,0.9798549662076328,0.009451346970023155,0.006479122369510142
jirasoftware_filtered,None,0.16672102900162286,0.9966340247832444,0.9800105961968445,0.00518242558710297,0.00319001982187806
jirasoftware_filtered,None,0.16894354111783444,0.9979803598635318,0.9800105961968445,0.004699253508893479,0.0035327221450974253
jirasoftware_filtered,None,0.15743277738951278,0.9977160939390711,0.9800105961968445,0.0015873703338472555,0.0011157192302182553
jirasoftware_filtered,None,0.2065996833119104,0.997466105786646,0.9800105961968445,0.0008026242647459703,0.0005604529256656042
jirasoftware_filtered,None,0.25448618876976475,0.9937497912154899,0.9800105961968445,0.00159754570643622,0.0009738767973417143
jirasoftware_filtered,None,0.2516801314846052,0.9953951973088101,0.9800105961968445,7.012102890791099e-05,4.488226140245169e-05
jirasoftware_filtered,None,0.24083238479505653,0.9949502168953753,0.9800105961968445,0.01611481025685321,0.009964544079595487
jirasoftware_filtered,None,0.22182274204131971,0.9950182137425396,0.9800105961968445,0.00018847063923717788,0.00012836464080357836
jirasoftware_filtered,None,0.18838028402939386,0.9962669183690128,0.9800105961968445,0.01564818271135182,0.009462167960422345
jirasoftware_filtered,None,0.23178104658568033,0.9958221663552305,0.9800105961968445,0.0006133795472329165,0.0004282305581634072
jirasoftware_filtered,None,0.2644523747026708,0.9818470646611877,0.9798742819864357,0.0016305977902044732,0.0008970497892062527
jirasoftware_filtered,FairReweighing,0.276364798435537,0.9685465921979339,0.9798533105694497,0.02416272703175261,0.010546552603794479
jirasoftware_filtered,FairReweighing,0.2940708394576646,0.977012130826082,0.9799686533628725,0.022564015365018612,0.010976822498112195
jirasoftware_filtered,FairReweighing,0.30927019399256045,0.9716801782292919,0.9799162248204077,0.02334622168238344,0.010533449881064715
jirasoftware_filtered,FairReweighing,0.33724465382905194,0.9628209445922176,0.9797644579869564,0.026583913703533753,0.010989738327959412
jirasoftware_filtered,FairReweighing,0.30587376033708297,0.9761437147502816,0.9799791390713657,0.020956309541553707,0.009994389979415453
jirasoftware_filtered,FairReweighing,0.33008969699784957,0.970374401982608,0.9799686533628725,0.009341302178673095,0.005087285168465992
jirasoftware_filtered,FairReweighing,0.2686260970461835,0.9681257379086415,0.9798585534236963,0.011508011837823271,0.00586137088705169
jirasoftware_filtered,FairReweighing,0.32875613173556073,0.9683715591235154,0.9798742819864357,0.010944181511256533,0.005730972319181501
jirasoftware_filtered,FairReweighing,0.29435681045267503,0.9808176223946037,0.9799686533628725,0.012809774593504273,0.006935652331946059
jirasoftware_filtered,FairReweighing,0.2819843260418902,0.9663442463812313,0.9797799106099987,0.014483788106378142,0.0070654176684577024
jirasoftware_filtered,FairReweighing,0.3374870300717201,0.978685267596375,0.9800001104883515,0.0007431262922533269,0.0004234150364583308
jirasoftware_filtered,FairReweighing,0.27492011887322965,0.978581254781671,0.97994243909164,0.02697135878639002,0.011441036633500946
jirasoftware_filtered,FairReweighing,0.36204718482876164,0.9678144070445032,0.9797851534642453,0.00651669300179335,0.0035711824405520744
jirasoftware_filtered,FairReweighing,0.3372181740944072,0.9551572993878445,0.9797432106302734,0.021192351654468543,0.008991005578210632
jirasoftware_filtered,FairReweighing,0.3108265580231609,0.9630902138970551,0.9797169963590409,0.011563961173062808,0.005797097192659336
jirasoftware_filtered,FairReweighing,0.29238778352737427,0.9717890601907049,0.9799004962576683,0.009371225625581889,0.005037130559318585
jirasoftware_filtered,FairReweighing,0.3155662584983581,0.976714121670246,0.9799896247798585,0.004720033011311455,0.002676488090884349
jirasoftware_filtered,FairReweighing,0.36307022728529686,0.9611733048252213,0.9797694249015059,0.011288942297121882,0.005675779983905014
jirasoftware_filtered,FairReweighing,0.2953039868022199,0.9656513784166986,0.9797484534845199,0.010813755919188112,0.005565570890297523
jirasoftware_filtered,FairReweighing,0.26966417450921815,0.9710265491915452,0.9798847676949287,0.0190897493564239,0.008748620687324876
