Data,N,MAE,Treatment,Pearson,Spearman
jirasoftware_filtered,1,4.643898914362509,CL,0.5404608870120194,0.603304309350233
jirasoftware_filtered,1,4.681391086610784,CL,0.5923375549412426,0.618582729900772
jirasoftware_filtered,1,5.147350837700311,CL,0.014486956523327276,0.07359884128935267
jirasoftware_filtered,1,4.677090175625227,CL,0.5279012565670745,0.6037076502805299
jirasoftware_filtered,1,4.8516732613410944,CL,0.5664184864585063,0.6175501101746593
jirasoftware_filtered,1,4.692713777462093,CL,0.5823164545393692,0.6353640556604668
jirasoftware_filtered,1,4.7346407503446,CL,0.6100808689630033,0.660886666395018
jirasoftware_filtered,1,4.758748062118259,CL,0.5341905998375889,0.6015604037511904
jirasoftware_filtered,1,5.114469989299677,CL,0.504453671096981,0.5484733734233236
jirasoftware_filtered,1,4.953638887528766,CL,0.47977680423419716,0.5019636454027872
jirasoftware_filtered,2,4.725420929878563,CL,0.6369827604821524,0.7263433764565944
jirasoftware_filtered,2,5.132974058782755,CL,0.20923231149135754,0.2385552400978497
jirasoftware_filtered,2,4.734636008183097,CL,0.6417426772193048,0.7103754270127678
jirasoftware_filtered,2,5.136636440740451,CL,0.19696593662649078,0.19558855253141463
jirasoftware_filtered,2,4.921137941456944,CL,0.6358897841940123,0.7042700838022995
jirasoftware_filtered,2,4.799240374792513,CL,0.644302166149458,0.7404184686715173
jirasoftware_filtered,2,4.767251714416961,CL,0.6012851556064295,0.6319197584216664
jirasoftware_filtered,2,4.652584601737946,CL,0.6730612099577117,0.7434995917116687
jirasoftware_filtered,2,4.609746903810021,CL,0.5897427828930636,0.6515328387625324
jirasoftware_filtered,2,4.928779287953172,CL,0.6234496289637601,0.691953959710787
jirasoftware_filtered,3,4.832787060336052,CL,0.5880178147854327,0.6568967710513348
jirasoftware_filtered,3,4.814120012444335,CL,0.6206466159405378,0.7182531272571963
jirasoftware_filtered,3,4.5257101426409045,CL,0.6165341404261581,0.7045278203303729
jirasoftware_filtered,3,4.718153024430979,CL,0.6039679617027385,0.6551361293141055
jirasoftware_filtered,3,4.874287522688218,CL,0.6380709000885129,0.7290228321802674
jirasoftware_filtered,3,4.695544908778718,CL,0.6458427441809577,0.728637901001976
jirasoftware_filtered,3,4.727109838349672,CL,0.6590535421530543,0.7376185127529006
jirasoftware_filtered,3,4.903543129514952,CL,0.6979005653789033,0.7875558018740509
jirasoftware_filtered,3,5.0940889079885725,CL,0.16072115443309454,0.13566146252668815
jirasoftware_filtered,3,4.7725919495252045,CL,0.6189596184622022,0.710977927987485
jirasoftware_filtered,4,4.68258590822096,CL,0.6665987531567419,0.7473723340880459
jirasoftware_filtered,4,4.549829637970436,CL,0.6885606792268991,0.7812111318875141
jirasoftware_filtered,4,4.685014284469864,CL,0.6686710492018382,0.754809873898167
jirasoftware_filtered,4,4.6605338943614205,CL,0.595332107980695,0.6787809453441213
jirasoftware_filtered,4,4.768296380654316,CL,0.6402101843743938,0.7173594174780322
jirasoftware_filtered,4,4.689386534964206,CL,0.6423186895000044,0.7426945834648937
jirasoftware_filtered,4,4.685415630047391,CL,0.6638111427136939,0.7238630807773415
jirasoftware_filtered,4,4.650182285711968,CL,0.6644301246741084,0.7562642443065816
jirasoftware_filtered,4,4.637023457894465,CL,0.6775531029425784,0.7707979067078173
jirasoftware_filtered,4,4.794819193940561,CL,0.6283421135209762,0.7235132954892418
jirasoftware_filtered,5,4.6301359326227916,CL,0.6509871426926335,0.7540718102041383
jirasoftware_filtered,5,4.765931325238924,CL,0.6698414901787142,0.7339532984900372
jirasoftware_filtered,5,4.723734239733161,CL,0.6078958228484416,0.7008441963155042
jirasoftware_filtered,5,4.616264514401313,CL,0.6705318616162109,0.748004960111499
jirasoftware_filtered,5,4.829181323964875,CL,0.6604222853315639,0.7326127338212913
jirasoftware_filtered,5,4.710366862765574,CL,0.7175592636608328,0.8228456228542966
jirasoftware_filtered,5,4.613968296780843,CL,0.7368231345704892,0.8109663119694545
jirasoftware_filtered,5,4.7688056075546355,CL,0.6398850917975926,0.7288404082740336
jirasoftware_filtered,5,4.626913257765692,CL,0.6618048526216753,0.7564617307371835
jirasoftware_filtered,5,4.666833721524612,CL,0.6259567001519296,0.7142247387956837
jirasoftware_filtered,10,4.6858269962203964,CL,0.6860843958522289,0.7746355031940027
jirasoftware_filtered,10,4.776916856405797,CL,0.668049345655782,0.7537605180338677
jirasoftware_filtered,10,4.762381847978074,CL,0.6533033837116349,0.7399498568022927
jirasoftware_filtered,10,4.70598594070255,CL,0.6515130843584984,0.7189895173374062
jirasoftware_filtered,10,4.706282939011981,CL,0.6544850641576496,0.7202028873559341
jirasoftware_filtered,10,4.734623763577214,CL,0.6751448511122664,0.7666875111691905
jirasoftware_filtered,10,4.637005206415212,CL,0.6514140460219032,0.7406577954475856
jirasoftware_filtered,10,4.746758592617396,CL,0.6751577217983973,0.7510040760745362
jirasoftware_filtered,10,4.741208476619191,CL,0.6543713110233488,0.7193962054953402
jirasoftware_filtered,10,4.85385818457739,CL,0.6124026190635244,0.7174949801973436
